"reliability","StandardError"
0.797481903295271,0.0286775144355315
0.795087959807894,0.0301090190832035
0.704598213876983,0.0416285678761445
0.749787596997845,0.0357753205439817
0.807190459366406,0.0270918728092448
0.784961549873869,0.0283884221674197
0.754976618921595,0.0302566789726427
0.802833569287836,0.0263650666037342
0.667911215750011,0.0456484081668544
0.743715982680111,0.0355435336792085
0.600125264308794,0.0602054538376187
0.818327648817582,0.020577879808903
0.641949363663911,0.0522633556630336
0.79141887189907,0.0279612973975325
0.521315457974342,0.0645171532453136
0.82592625092109,0.0242030683484248
0.793956220247246,0.0264776082373985
0.783795846025553,0.0252938110639934
0.696642520507375,0.0403217528541813
