"reliability","StandardError","source"
-1.59692602998538,0.144112567055706,"Aczel"
-1.58517446415519,0.149071198499986,"Birt"
-1.21941886244743,0.143443827637312,"Evans"
-1.38544510982726,0.146884216413077,"Ferreira-Santos"
-1.64605241341594,0.14149211999267,"Gonzalez-Iraizoz"
-1.53693842904809,0.134962721696486,"Holzmeister"
-1.40640164001777,0.127360119983478,"klein Selle & Rozmann"
-1.62370708095866,0.134962721696486,"Koppel"
-1.10235292337693,0.140859042454753,"Laine"
-1.36146900682345,0.140859042454753,"Loschelder"
-0.916603941691213,0.153755201338148,"McCarthy"
-1.70555048256416,0.115701689083437,"Meijer"
-1.02708086030387,0.147602480923349,"Özdoğru"
-1.56742720982288,0.13723116159877,"Suchotzki"
-0.736713474674604,0.136653343615131,"Sutan"
-1.74827622428355,0.14023438730389,"Vanpaemel"
-1.57966660970076,0.130244110860761,"Verschuere"
-1.53153216038877,0.11859467782747,"Wick"
-1.19284336858454,0.135519271363624,"Wiggins"
